Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-52859,P,Jacob,Jacob deGrom,deGrom,61.6,5,12500,NYM@STL,NYM,STL,,,,Yes,,P
58318-16956,P,Gerrit,Gerrit Cole,Cole,54.166666666666664,6,12200,HOU@NYY,NYY,HOU,,,,,0,P
58318-82554,P,Shane,Shane Bieber,Bieber,55.666666666666664,6,12000,CLE@KC,CLE,KC,,,,,,P
58318-5481,P,Max,Max Scherzer,Scherzer,42.166666666666664,6,12000,ATL@WSH,WSH,ATL,,,,,0,P
58318-82604,P,Corbin,Corbin Burnes,Burnes,49.6,5,11100,MIL@PHI,MIL,PHI,IL,Undisclosed,,,0,P
58318-16931,P,Yu,Yu Darvish,Darvish,45.333333333333336,6,11000,PIT@SD,SD,PIT,,,,,,P
58318-68523,P,Joe,Joe Musgrove,Musgrove,26.666666666666668,9,10800,PIT@SD,SD,PIT,,,,,,P
58318-52183,P,Tyler,Tyler Glasnow,Glasnow,48.142857142857146,7,10800,TB@LAA,TB,LAA,,,,,0,P
58318-13268,P,Danny,Danny Duffy,Duffy,45.2,5,10500,CLE@KC,KC,CLE,,,,,0,P
58318-10978,P,Stephen,Stephen Strasburg,Strasburg,23,2,10200,ATL@WSH,WSH,ATL,IL,Shoulder,,,0,P
58318-52172,P,Noah,Noah Syndergaard,Syndergaard,,,10000,NYM@STL,NYM,STL,IL,Elbow,,,,P
58318-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,HOU@NYY,HOU,NYY,IL,Elbow,,,0,P
58318-79246,P,Jack,Jack Flaherty,Flaherty,36.333333333333336,6,10000,NYM@STL,STL,NYM,,,,,,P
58318-37014,P,Hyun Jin,Hyun Jin Ryu,Ryu,30.2,5,9500,TOR@OAK,TOR,OAK,IL,Hip,,,,P
58318-12477,P,Chris,Chris Sale,Sale,,,9500,DET@BOS,BOS,DET,IL,Elbow,,,0,P
58318-82557,P,Aaron,Aaron Civale,Civale,32.666666666666664,6,9500,CLE@KC,CLE,KC,,,,,,P
58318-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,34,5,9500,DET@BOS,BOS,DET,,,,,0,P
58318-102335,P,Cristian,Cristian Javier,Javier,34.8,5,9400,HOU@NYY,HOU,NYY,,,,,0,P
58318-16960,P,Zack,Zack Wheeler,Wheeler,36.333333333333336,6,9300,MIL@PHI,PHI,MIL,,,,,0,P
58318-52174,P,Steven,Steven Matz,Matz,30,6,9300,TOR@OAK,TOR,OAK,,,,,,P
58318-80582,P,Brandon,Brandon Woodruff,Woodruff,39.333333333333336,6,9200,MIL@PHI,MIL,PHI,,,,,0,P
58318-60647,P,Aaron,Aaron Nola,Nola,35.833333333333336,6,9200,MIL@PHI,PHI,MIL,,,,Yes,,P
58318-6266,P,Carlos,Carlos Carrasco,Carrasco,36.5,12,9000,NYM@STL,NYM,STL,IL,Hamstring,,,,P
58318-82440,P,Shohei,Shohei Ohtani,Ohtani,3.740740740740741,27,9000,TB@LAA,LAA,TB,,,,,,P
58318-80433,P,Dinelson,Dinelson Lamet,Lamet,18,1,9000,PIT@SD,SD,PIT,IL,Forearm,,,,P
58318-16957,P,Dylan,Dylan Bundy,Bundy,33.333333333333336,6,9000,TB@LAA,LAA,TB,,,,,,P
58318-82540,P,Tanner,Tanner Houck,Houck,17.333333333333332,3,9000,DET@BOS,BOS,DET,,,,,0,P
58318-97300,P,John,John Means,Means,39.666666666666664,6,9000,BAL@SEA,BAL,SEA,,,,,,P
58318-60644,P,Luis,Luis Severino,Severino,,,9000,HOU@NYY,NYY,HOU,IL,Elbow,,,0,P
58318-85599,P,Framber,Framber Valdez,Valdez,37.27272727272727,11,9000,HOU@NYY,HOU,NYY,IL,Finger,,,0,P
