Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58417-52859,P,Jacob,Jacob deGrom,deGrom,61.6,5,12500,NYM@STL,NYM,STL,DTD,Lat,,,0,P
58417-16956,P,Gerrit,Gerrit Cole,Cole,54.166666666666664,6,12300,HOU@NYY,NYY,HOU,,,,Yes,,P
58417-82554,P,Shane,Shane Bieber,Bieber,53.42857142857143,7,12200,CLE@KC,CLE,KC,,,,,,P
58417-5481,P,Max,Max Scherzer,Scherzer,42.166666666666664,6,12000,ATL@WSH,WSH,ATL,,,,,,P
58417-82604,P,Corbin,Corbin Burnes,Burnes,49.6,5,11100,MIL@PHI,MIL,PHI,IL,Undisclosed,,,0,P
58417-13268,P,Danny,Danny Duffy,Duffy,45.2,5,10700,CLE@KC,KC,CLE,,,,Yes,,P
58417-10978,P,Stephen,Stephen Strasburg,Strasburg,23,2,10200,ATL@WSH,WSH,ATL,IL,Shoulder,,,,P
58417-80582,P,Brandon,Brandon Woodruff,Woodruff,39.333333333333336,6,10100,MIL@PHI,MIL,PHI,,,,Yes,,P
58417-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,HOU@NYY,HOU,NYY,IL,Elbow,,,0,P
58417-79246,P,Jack,Jack Flaherty,Flaherty,36.333333333333336,6,10000,NYM@STL,STL,NYM,,,,,,P
58417-52172,P,Noah,Noah Syndergaard,Syndergaard,,,10000,NYM@STL,NYM,STL,IL,Elbow,,,0,P
58417-12477,P,Chris,Chris Sale,Sale,,,9500,DET@BOS,BOS,DET,IL,Elbow,,,,P
58417-82557,P,Aaron,Aaron Civale,Civale,32.666666666666664,6,9500,CLE@KC,CLE,KC,,,,,,P
58417-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,34,5,9500,DET@BOS,BOS,DET,,,,,,P
58417-37014,P,Hyun Jin,Hyun Jin Ryu,Ryu,30.2,5,9400,TOR@OAK,TOR,OAK,IL,Hip,,Yes,,P
58417-102335,P,Cristian,Cristian Javier,Javier,34.8,5,9400,HOU@NYY,HOU,NYY,,,,,0,P
58417-52174,P,Steven,Steven Matz,Matz,30,6,9300,TOR@OAK,TOR,OAK,,,,,,P
58417-60647,P,Aaron,Aaron Nola,Nola,38.57142857142857,7,9200,MIL@PHI,PHI,MIL,,,,,0,P
58417-16960,P,Zack,Zack Wheeler,Wheeler,36.333333333333336,6,9100,MIL@PHI,PHI,MIL,,,,Yes,,P
58417-6266,P,Carlos,Carlos Carrasco,Carrasco,36.5,12,9000,NYM@STL,NYM,STL,IL,Hamstring,,,0,P
58417-60644,P,Luis,Luis Severino,Severino,,,9000,HOU@NYY,NYY,HOU,IL,Elbow,,,0,P
58417-83190,P,Freddy,Freddy Peralta,Peralta,35,7,9000,MIL@PHI,MIL,PHI,,,,,0,P
58417-85599,P,Framber,Framber Valdez,Valdez,37.27272727272727,11,9000,HOU@NYY,HOU,NYY,IL,Finger,,,0,P
58417-82540,P,Tanner,Tanner Houck,Houck,17.333333333333332,3,9000,DET@BOS,BOS,DET,,,,,,P
58417-60639,P,Jose,Jose Berrios,Berrios,34.5,6,8800,TEX@MIN,MIN,TEX,,,,,0,P
58417-79078,P,Ian,Ian Anderson,Anderson,31.833333333333332,6,8800,ATL@WSH,ATL,WSH,,,,,,P
58417-79280,P,Jesus,Jesus Luzardo,Luzardo,21.666666666666668,6,8700,TOR@OAK,OAK,TOR,IL,Finger,,,,P
58417-12864,P,Michael,Michael Pineda,Pineda,32.4,5,8700,TEX@MIN,MIN,TEX,,,,Yes,,P
58417-12936,P,Kyle,Kyle Gibson,Gibson,34,7,8600,TEX@MIN,TEX,MIN,,,,,0,P
58417-53067,P,Chris,Chris Bassitt,Bassitt,32.857142857142854,7,8600,TOR@OAK,OAK,TOR,,,,,,P
58417-13233,P,Nathan,Nathan Eovaldi,Eovaldi,31.666666666666668,6,8600,DET@BOS,BOS,DET,,,,Yes,,P
58417-39041,P,Marcus,Marcus Stroman,Stroman,32.5,6,8400,NYM@STL,NYM,STL,,,,,0,P
58417-5522,P,Zack,Zack Greinke,Greinke,27.428571428571427,7,8400,HOU@NYY,HOU,NYY,,,,,0,P
58417-63136,P,Matthew,Matthew Boyd,Boyd,30,6,8400,DET@BOS,DET,BOS,DTD,Knee,,,0,P
58417-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,32,5,8400,HOU@NYY,HOU,NYY,,,,Yes,,P
58417-79951,P,Nick,Nick Pivetta,Pivetta,31,6,8300,DET@BOS,BOS,DET,,,,,,P
58417-52165,P,Sean,Sean Manaea,Manaea,31.833333333333332,6,8300,TOR@OAK,OAK,TOR,,,,,,P
58417-13664,P,Patrick,Patrick Corbin,Corbin,15,5,8100,ATL@WSH,WSH,ATL,,,,,,P
58417-68482,P,Zach,Zach Eflin,Eflin,32.5,6,8100,MIL@PHI,PHI,MIL,,,,,0,P
58417-79073,P,Mike,Mike Soroka,Soroka,17,3,8000,ATL@WSH,ATL,WSH,IL,Shoulder,,,,P
58417-101804,P,Huascar,Huascar Ynoa,Ynoa,31.428571428571427,7,8000,ATL@WSH,ATL,WSH,,,,,,P
58417-53029,P,Robbie,Robbie Ray,Ray,32.2,5,8000,TOR@OAK,TOR,OAK,,,,,,P
58417-5466,P,Charlie,Charlie Morton,Morton,30.166666666666668,6,7900,ATL@WSH,ATL,WSH,,,,,,P
58417-5767,P,J.A.,J.A. Happ,Happ,27,5,7900,TEX@MIN,MIN,TEX,,,,,0,P
58417-102523,P,Deivi,Deivi Garcia,Garcia,18,1,7800,HOU@NYY,NYY,HOU,,,,,0,P
58417-79147,P,Jakob,Jakob Junis,Junis,16.25,8,7800,CLE@KC,KC,CLE,,,,,0,P
58417-53608,P,Jose,Jose Urena,Urena,28.5,6,7800,DET@BOS,DET,BOS,,,,,0,P
58417-68518,P,Spencer,Spencer Turnbull,Turnbull,23.333333333333332,3,7800,DET@BOS,DET,BOS,,,,Yes,,P
58417-52185,P,Max,Max Fried,Fried,17.25,4,7800,ATL@WSH,ATL,WSH,,,,,,P
58417-85269,P,Cole,Cole Irvin,Irvin,33.5,6,7700,TOR@OAK,OAK,TOR,,,,,,P
58417-71034,P,Seth,Seth Lugo,Lugo,13.125,16,7700,NYM@STL,NYM,STL,IL,Elbow,,,0,P
58417-38272,P,Mike,Mike Foltynewicz,Foltynewicz,27.166666666666668,6,7600,TEX@MIN,TEX,MIN,,,,,0,P
58417-63781,P,Frankie,Frankie Montas,Montas,25.5,6,7500,TOR@OAK,OAK,TOR,,,,,,P
58417-79254,P,Dakota,Dakota Hudson,Hudson,25.5,8,7500,NYM@STL,STL,NYM,IL,Elbow,,,,P
58417-82535,P,Kyle,Kyle Wright,Wright,22,1,7500,ATL@WSH,ATL,WSH,,,,,,P
58417-21097,P,Taijuan,Taijuan Walker,Walker,24.833333333333332,6,7500,NYM@STL,NYM,STL,,,,Yes,,P
58417-110822,P,Jose,Jose Urquidy,Urquidy,26.833333333333332,6,7400,HOU@NYY,HOU,NYY,,,,,0,P
58417-79103,P,Dane,Dane Dunning,Dunning,24.333333333333332,6,7400,TEX@MIN,TEX,MIN,,,,,0,P
58417-102344,P,Brady,Brady Singer,Singer,25.833333333333332,6,7400,CLE@KC,KC,CLE,,,,,0,P
58417-68654,P,John,John Gant,Gant,26.6,5,7300,NYM@STL,STL,NYM,,,,Yes,,P
58417-13627,P,Corey,Corey Kluber,Kluber,27.666666666666668,6,7300,HOU@NYY,NYY,HOU,,,,,0,P
58417-5431,P,Adam,Adam Wainwright,Wainwright,29,6,7200,NYM@STL,STL,NYM,,,,,,P
58417-65987,P,Domingo,Domingo German,German,26.8,5,7200,HOU@NYY,NYY,HOU,,,,,0,P
58417-13019,P,Garrett,Garrett Richards,Richards,23.5,6,7200,DET@BOS,BOS,DET,,,,,,P
