Rank,Name,Team,Pos,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
1,Tyler Glasnow,TB,SP,4,1,2.06,7,7,0,43.2,23,10,10,4,15,64,0.151,0.87,337
2,Shane Bieber,CLE,SP,3,2,2.76,6,6,0,42.1,28,13,13,5,14,68,0.178,0.99,334
3,Gerrit Cole,NYY,SP,4,1,1.43,6,6,0,37.2,24,7,6,1,3,62,0.178,0.72,325
4,Jacob deGrom,NYM,SP,2,2,0.51,5,5,0,35,16,5,2,2,4,59,0.136,0.57,308
5,Trevor Bauer,LAD,SP,3,1,2.48,6,6,0,40,19,12,11,7,8,51,0.138,0.68,278
6,Yu Darvish,SD,SP,3,1,2.13,6,6,0,38,23,9,9,4,11,49,0.172,0.9,272
7,Max Scherzer,WSH,SP,2,2,2.54,6,6,0,39,27,13,11,7,6,47,0.196,0.85,253
8,Clayton Kershaw,LAD,SP,4,2,2.1,8,6,0,38.2,30,10,9,3,5,39,0.21,0.91,250
9,Corbin Burnes,MIL,RP,2,2,1.53,5,5,0,29.1,16,6,5,1,0,49,0.152,0.55,248
10,Kevin Gausman,SF,SP,2,0,2.04,6,6,0,39.2,25,9,9,4,11,40,0.175,0.91,244
11,Joe Musgrove,SD,SP,2,3,2.38,9,6,0,34,18,11,9,4,7,47,0.148,0.74,240
11,Trevor Rogers,MIA,SP,3,2,1.91,6,6,0,33,22,8,7,2,13,44,0.193,1.06,240
13,Julio Urías,LAD,RP,4,0,2.87,6,6,0,37.2,28,13,12,4,6,42,0.206,0.9,239
14,John Means,BAL,SP,3,0,1.7,6,6,0,37,21,7,7,5,10,38,0.163,0.84,238
15,Brandon Woodruff,MIL,SP,2,0,1.8,6,6,0,35,19,7,7,1,9,40,0.158,0.8,236
16,Danny Duffy,KC,SP,4,1,0.6,5,5,0,30,20,4,2,2,9,34,0.183,0.97,226
17,Freddy Peralta,MIL,RP,3,0,2.25,6,5,0,28,14,7,7,3,14,45,0.146,1,224
18,Zack Wheeler,PHI,SP,2,2,3.49,6,6,0,38.2,31,15,15,4,12,41,0.225,1.11,218
18,Jack Flaherty,STL,SP,5,0,3.41,6,6,0,34.1,25,16,13,3,10,36,0.203,1.02,218
20,Aaron Nola,PHI,SP,2,1,3.11,6,6,0,37.2,31,13,13,3,5,39,0.218,0.96,215
21,Anthony DeSclafani,SF,SP,2,1,2,8,6,0,36,25,8,8,3,9,33,0.189,0.94,211
22,Carlos Rodón,CHW,SP,4,0,0.72,4,4,0,25,7,3,2,1,9,36,0.085,0.64,209
23,José Berríos,MIN,SP,3,2,3.58,6,6,0,32.2,24,13,13,2,9,42,0.207,1.01,207
24,Sandy Alcantara,MIA,SP,1,2,3.19,6,6,0,36.2,25,14,13,3,11,36,0.195,0.98,201
25,Dylan Bundy,LAA,SP,0,3,4,6,6,0,36,30,17,16,5,9,40,0.224,1.08,200
26,Aaron Civale,CLE,SP,4,0,3.2,6,6,0,39.1,29,15,14,5,12,28,0.209,1.04,196
27,Kyle Gibson,TEX,SP,3,0,2.16,6,6,0,33.1,27,9,8,0,11,27,0.22,1.14,195
27,Zach Eflin,PHI,SP,1,1,3.49,6,6,0,38.2,43,15,15,3,2,34,0.279,1.16,195
27,Pablo López,MIA,SP,0,2,2.34,7,6,0,34.2,28,10,9,3,10,34,0.22,1.1,195
30,Tyler Mahle,CIN,SP,1,1,3.23,6,6,0,30.2,23,12,11,5,11,41,0.207,1.11,192
31,Sean Manaea,OAK,SP,3,1,3.48,6,6,0,33.2,34,13,13,4,7,33,0.26,1.22,191
31,Ian Anderson,ATL,SP,2,1,3.27,6,6,0,33,26,12,12,3,14,36,0.215,1.21,191
33,Nathan Eovaldi,BOS,SP,4,2,3.64,6,6,0,34.2,33,14,14,0,7,32,0.248,1.15,190
33,Chris Bassitt,OAK,SP,2,2,3.93,6,6,0,34.1,32,15,15,3,12,36,0.244,1.28,190
35,Jon Gray,COL,SP,3,2,3.15,6,6,0,34.1,27,13,12,3,14,30,0.213,1.19,187
36,Charlie Morton,ATL,SP,2,1,5.08,6,6,0,33.2,29,19,19,4,12,39,0.23,1.22,181
37,Steven Matz,TOR,SP,4,2,4.78,6,6,0,32,29,17,17,5,10,33,0.238,1.22,180
37,Matthew Boyd,DET,SP,2,3,2.27,6,6,0,35.2,26,10,9,1,7,24,0.203,0.93,180
39,Tyler Anderson,PIT,SP,2,3,3.24,6,6,0,33.1,27,12,12,3,11,31,0.225,1.14,177
39,Zack Greinke,HOU,SP,2,1,3.44,6,6,0,36.2,36,14,14,5,6,27,0.259,1.15,177
39,Huascar Ynoa,ATL,RP,2,1,2.96,6,5,0,27.1,19,9,9,5,6,34,0.19,0.92,177
42,Walker Buehler,LAD,SP,1,0,3.16,5,5,0,31.1,28,11,11,4,2,31,0.237,0.96,176
43,Adam Wainwright,STL,SP,1,3,4.72,6,6,0,34.1,37,19,18,6,9,37,0.272,1.34,174
43,Lucas Giolito,CHW,SP,1,3,4.99,6,6,0,30.2,27,19,17,6,13,41,0.223,1.3,174
43,Cristian Javier,HOU,RP,3,0,1.75,5,5,0,25.2,15,5,5,1,8,30,0.17,0.9,174
46,José Ureña,DET,SP,1,4,3.53,6,6,0,35.2,29,16,14,1,16,28,0.221,1.26,171
47,Eduardo Rodriguez,BOS,SP,4,0,4.18,5,5,0,28,26,13,13,5,3,31,0.243,1.04,170
47,German Márquez,COL,SP,1,2,4.13,6,6,0,32.2,29,15,15,3,19,33,0.242,1.47,170
49,Marcus Stroman,NYM,SP,3,2,1.86,5,5,0,29,21,9,6,1,6,23,0.204,0.93,168
49,JT Brubaker,PIT,SP,2,2,2.63,5,5,0,27.1,23,8,8,4,5,30,0.225,1.02,168
51,Dustin May,LAD,RP,1,1,2.74,5,5,0,23,16,8,7,4,6,35,0.186,0.96,167
52,Corey Kluber,NYY,SP,2,2,3.03,6,6,0,29.2,26,13,10,3,14,29,0.239,1.35,166
52,Lance Lynn,CHW,SP,2,1,1.82,4,4,0,24.2,20,7,5,2,4,29,0.215,0.97,166
54,Blake Snell,SD,SP,1,0,3.51,6,6,0,25.2,23,11,10,3,15,37,0.228,1.48,164
55,Jake Arrieta,CHC,SP,3,3,4.31,7,6,0,31.1,29,15,15,5,12,28,0.242,1.31,163
55,Mike Foltynewicz,TEX,SP,1,3,4.32,6,6,0,33.1,35,16,16,9,8,31,0.271,1.29,163
57,Michael Pineda,MIN,SP,2,1,2.31,5,5,0,27.1,19,9,7,5,6,27,0.19,0.92,162
58,Jose Urquidy,HOU,SP,2,2,3.71,6,6,0,34,31,14,14,4,8,27,0.24,1.15,161
59,Lance McCullers Jr.,HOU,SP,2,1,3.38,5,5,0,26.2,14,10,10,1,14,30,0.152,1.05,160
60,Madison Bumgarner,ARI,SP,3,2,5.58,7,6,0,30.2,28,19,19,4,10,33,0.241,1.24,156
61,Frankie Montas,OAK,SP,3,2,5.87,6,6,0,30.2,37,20,20,6,8,29,0.285,1.47,153
62,Hyun-Jin Ryu,TOR,SP,1,2,2.6,5,5,0,27.2,26,9,8,3,3,26,0.241,1.05,151
63,Nick Pivetta,BOS,RP,3,0,2.81,5,5,0,25.2,15,8,8,1,17,25,0.176,1.25,150
64,Taijuan Walker,NYM,SP,1,1,3,6,5,0,27,19,10,9,1,15,27,0.2,1.26,149
64,Michael Kopech,CHW,SP,2,0,1.45,7,2,0,18.2,8,3,3,1,4,30,0.125,0.64,149
66,Carlos Martínez,STL,RP,2,4,3.72,6,6,0,36.1,28,16,15,2,9,20,0.209,1.02,148
67,Andrew Heaney,LAA,SP,1,2,5.25,5,5,0,24,18,14,14,4,9,34,0.207,1.13,146
67,Dylan Cease,CHW,SP,1,0,2.96,5,5,0,24.1,21,8,8,2,12,29,0.239,1.36,146
67,Dane Dunning,TEX,SP,1,2,3.81,6,6,0,28.1,27,13,12,1,7,29,0.243,1.2,146
67,Yusei Kikuchi,SEA,SP,1,1,4.4,5,5,0,30.2,24,15,15,5,11,27,0.214,1.14,146
71,Logan Webb,SF,SP,1,2,4.13,6,5,0,28.1,32,13,13,3,11,28,0.291,1.52,144
72,Cole Irvin,OAK,SP,2,3,3.67,5,5,0,27,31,11,11,3,4,25,0.282,1.3,143
73,Garrett Richards,BOS,SP,1,2,4.4,6,6,0,28.2,29,16,14,3,14,29,0.257,1.5,141
74,Wade Miley,CIN,SP,3,2,2.67,5,5,0,27,19,8,8,3,7,19,0.188,0.96,140
75,Matt Harvey,BAL,SP,3,1,4.07,6,6,0,31,31,14,14,2,9,22,0.252,1.29,139
75,Austin Gomber,COL,RP,2,3,5.9,6,6,0,29,22,23,19,3,20,27,0.212,1.45,139
77,Brady Singer,KC,SP,1,3,3.09,5,5,0,23.1,19,12,8,2,9,26,0.216,1.2,138
78,Justus Sheffield,SEA,SP,2,2,4.18,5,5,0,28,29,16,13,3,11,24,0.264,1.43,137
79,Adrian Houser,MIL,SP,2,3,3.52,6,6,0,30.2,29,15,12,4,11,21,0.259,1.3,135
79,Kenta Maeda,MIN,SP,2,2,5.34,6,6,0,28.2,38,19,17,7,7,28,0.311,1.57,135
79,David Peterson,NYM,SP,1,3,4.81,5,5,0,24.1,22,16,13,5,8,29,0.242,1.23,135
79,Zach Plesac,CLE,SP,1,3,4.78,6,6,0,32,31,17,17,4,7,24,0.25,1.19,135
83,Chris Flexen,SEA,SP,2,1,3.33,5,5,0,27,30,11,10,2,6,21,0.288,1.33,134
84,John Gant,STL,RP,2,2,2.16,5,5,0,25,21,7,6,1,18,20,0.239,1.56,133
