Rank,Name,Team,POS,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
1,Shane Bieber,CLE,SP,8,1,1.63,12,12,0,77.1,46,15,14,7,21,122,0.167,0.87,644
2,Yu Darvish,CHC,SP,8,3,2.01,12,12,0,76,59,18,17,5,14,93,0.211,0.96,544
3,Trevor Bauer,CIN,SP,5,4,1.73,11,11,0,73,41,17,14,9,17,100,0.159,0.8,543
4,Jacob deGrom,NYM,SP,4,2,2.38,12,12,0,68,47,21,18,7,18,104,0.19,0.96,518
5,Gerrit Cole,NYY,SP,7,3,2.84,12,11,0,73,53,27,23,14,17,94,0.197,0.96,502
5,Lance Lynn,TEX,SP,6,3,3.32,13,13,0,84,64,34,31,13,25,89,0.206,1.06,502
7,Lucas Giolito,CHW,SP,4,3,3.48,12,12,0,72.1,47,31,28,8,28,97,0.184,1.04,480
7,Dinelson Lamet,SD,SP,3,1,2.09,12,12,0,69,39,18,16,5,20,93,0.161,0.86,480
9,Aaron Nola,PHI,SP,5,5,3.28,12,11,0,71.1,54,31,26,9,23,96,0.205,1.08,478
10,Brandon Woodruff,MIL,SP,3,5,3.05,13,13,0,73.2,55,26,25,9,18,91,0.204,0.99,461
11,Luis Castillo,CIN,SP,4,6,3.21,12,12,0,70,62,31,25,5,24,89,0.233,1.23,454
12,Zac Gallen,ARI,SP,3,2,2.75,12,12,0,72,55,24,22,9,25,82,0.21,1.11,450
13,Max Scherzer,WSH,SP,5,4,3.74,12,12,0,67.1,70,30,28,10,23,92,0.26,1.38,448
13,Kenta Maeda,MIN,SP,6,1,2.7,11,11,0,66.2,40,20,20,9,10,80,0.168,0.75,448
15,Corbin Burnes,MIL,RP,4,1,2.11,12,9,0,59.2,37,15,14,2,24,88,0.174,1.02,441
16,Carlos Carrasco,CLE,SP,3,4,2.91,12,12,0,68,55,22,22,8,27,82,0.221,1.21,438
17,Kyle Hendricks,CHC,SP,6,5,2.88,12,12,0,81.1,73,26,26,10,8,64,0.24,1,430
18,German Márquez,COL,SP,4,6,3.75,13,13,0,81.2,78,41,34,6,25,73,0.247,1.26,422
19,Hyun-Jin Ryu,TOR,SP,5,2,2.69,12,12,0,67,60,22,20,6,17,72,0.234,1.15,415
20,Framber Valdez,HOU,SP,5,3,3.57,11,10,0,70.2,63,32,28,5,16,76,0.239,1.12,410
21,Tyler Glasnow,TB,SP,5,1,4.08,11,11,0,57.1,43,26,26,11,22,91,0.2,1.13,409
22,Dylan Bundy,LAA,SP,6,3,3.29,11,11,0,65.2,51,27,24,5,17,72,0.208,1.04,401
23,Zach Davies,SD,SP,7,4,2.73,12,12,0,69.1,55,26,21,9,19,63,0.215,1.07,400
24,Marco Gonzales,SEA,SP,7,2,3.1,11,11,0,69.2,59,27,24,8,7,64,0.222,0.95,395
25,Clayton Kershaw,LAD,SP,6,2,2.16,10,10,0,58.1,41,18,14,8,8,62,0.194,0.84,379
26,Kevin Gausman,SF,SP,3,3,3.62,12,10,0,59.2,50,26,24,8,16,79,0.221,1.11,378
27,Sonny Gray,CIN,SP,5,3,3.7,11,11,0,56,42,26,23,4,26,72,0.203,1.21,365
28,Aaron Civale,CLE,SP,4,6,4.74,12,12,0,74,82,39,39,11,16,69,0.282,1.32,364
29,Chris Bassitt,OAK,SP,5,2,2.29,11,11,0,63,56,18,16,6,17,55,0.233,1.16,356
30,Zack Wheeler,PHI,SP,4,2,2.92,11,11,0,71,67,26,23,3,16,53,0.254,1.17,355
30,José Berríos,MIN,SP,5,4,4,12,12,0,63,57,28,28,8,26,68,0.238,1.32,355
32,Andrew Heaney,LAA,SP,4,3,4.46,12,12,0,66.2,63,35,33,9,19,70,0.246,1.23,351
33,Zack Greinke,HOU,SP,3,3,4.03,12,12,0,67,67,30,30,6,9,67,0.256,1.13,350
34,Adam Wainwright,STL,SP,5,3,3.15,10,10,0,65.2,54,25,23,9,15,54,0.221,1.05,348
35,Zach Eflin,PHI,SP,4,2,3.97,11,10,0,59,60,28,26,8,15,70,0.263,1.27,345
36,Zach Plesac,CLE,SP,4,2,2.28,8,8,0,55.1,38,14,14,8,6,57,0.191,0.8,343
37,Max Fried,ATL,SP,7,0,2.25,11,11,0,56,42,14,14,2,19,50,0.211,1.09,334
