Rank,Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PTS
1,Vladimir Guerrero Jr.,TOR,1B,58,206,44,69,11,1,18,47,36,37,1,0,0.335,0.441,0.66,1.101,839.3
2,Ronald Acuña Jr.,ATL,LF,54,198,48,57,10,1,18,38,33,50,11,4,0.288,0.395,0.621,1.016,832.6
3,Shohei Ohtani,LAA,DH,59,203,40,53,13,3,17,44,24,68,9,3,0.261,0.346,0.606,0.952,786
4,Rafael Devers,BOS,3B,58,218,39,59,18,0,15,48,21,65,3,4,0.271,0.34,0.56,0.9,748.8
5,Austin Meadows,TB,LF,57,214,37,52,16,1,14,48,32,62,2,0,0.243,0.347,0.523,0.87,739.4
6,Jesse Winker,CIN,LF,51,205,44,71,10,1,17,37,19,41,0,0,0.346,0.407,0.654,1.061,735.3
7,Fernando Tatis Jr.,SD,SS,45,162,41,46,9,0,17,39,23,49,13,2,0.284,0.365,0.654,1.019,732.7
8,Marcus Semien,TOR,SS,58,233,39,68,13,1,13,32,25,64,8,0,0.292,0.362,0.524,0.886,728.8
9,Kris Bryant,CHC,3B,57,212,40,65,16,1,13,38,24,56,3,2,0.307,0.383,0.575,0.958,726
10,Mark Canha,OAK,CF,60,220,47,56,10,2,11,23,34,56,7,1,0.255,0.382,0.468,0.85,719.9
11,José Ramírez,CLE,3B,58,207,41,57,14,1,14,35,25,32,6,2,0.275,0.357,0.556,0.913,718.7
12,J.D. Martinez,BOS,LF,55,213,41,68,16,0,12,39,23,51,0,0,0.319,0.387,0.563,0.95,699.7
13,Bo Bichette,TOR,SS,58,236,46,63,13,1,11,34,16,65,7,0,0.267,0.318,0.47,0.788,695.2
14,Matt Olson,OAK,1B,56,201,38,55,14,0,15,40,26,39,0,1,0.274,0.363,0.567,0.93,693.6
15,Nick Castellanos,CIN,RF,53,213,37,76,19,1,12,31,18,45,1,1,0.357,0.412,0.624,1.036,691.9
16,Whit Merrifield,KC,2B,59,227,38,61,14,1,5,36,19,28,17,1,0.269,0.325,0.405,0.73,691.6
17,Max Muncy,LAD,1B,57,187,39,50,7,1,13,31,45,49,1,0,0.267,0.422,0.524,0.946,683.3
18,Cedric Mullins,BAL,CF,60,231,33,75,17,3,9,19,26,45,9,4,0.325,0.394,0.541,0.935,682.1
19,Xander Bogaerts,BOS,SS,58,218,34,70,16,0,10,36,20,46,4,0,0.321,0.38,0.532,0.912,672.8
20,Trea Turner,WSH,SS,57,231,31,72,11,0,10,30,14,52,13,2,0.312,0.356,0.489,0.845,672.2
21,Chris Taylor,LAD,LF,55,186,45,51,8,3,8,33,30,55,6,0,0.274,0.392,0.478,0.87,670.5
22,Ozzie Albies,ATL,2B,56,214,36,54,19,3,9,37,22,40,5,1,0.252,0.329,0.495,0.824,667.7
23,Mitch Haniger,SEA,RF,59,235,39,60,15,1,14,38,17,61,0,0,0.255,0.302,0.506,0.808,665.8
24,Carlos Correa,HOU,SS,57,219,39,63,14,0,11,34,29,38,0,0,0.288,0.372,0.502,0.874,663.8
25,Jared Walsh,LAA,1B,59,209,30,62,13,1,13,40,19,59,2,0,0.297,0.362,0.555,0.917,662
26,Trey Mancini,BAL,1B,58,221,33,61,13,0,11,45,23,54,0,0,0.276,0.348,0.484,0.832,659.1
27,Aaron Judge,NYY,RF,58,204,32,59,7,0,14,34,35,59,0,0,0.289,0.394,0.529,0.923,653.4
28,Kyle Tucker,HOU,RF,59,218,38,56,12,1,11,37,20,39,5,0,0.257,0.317,0.472,0.789,653.1
29,Freddie Freeman,ATL,1B,57,210,38,48,6,0,13,32,39,43,3,1,0.229,0.352,0.443,0.795,650.6
30,Nolan Arenado,STL,3B,60,234,30,66,19,1,11,40,15,35,0,0,0.282,0.328,0.513,0.841,647
31,Adolis García,TEX,RF,52,199,29,55,4,1,16,43,10,58,7,4,0.276,0.313,0.548,0.861,645.3
32,Yuli Gurriel,HOU,1B,55,201,27,67,16,0,8,42,27,21,1,1,0.333,0.406,0.532,0.938,644.4
33,Brandon Crawford,SF,SS,52,167,35,45,9,0,14,41,23,45,3,0,0.269,0.363,0.575,0.938,636.5
34,Carlos Santana,KC,1B,59,200,34,48,4,0,10,36,43,36,2,0,0.24,0.376,0.41,0.786,630.8
35,Eduardo Escobar,ARI,3B,60,238,33,57,8,1,14,41,16,58,1,0,0.239,0.286,0.458,0.744,630.1
35,Rhys Hoskins,PHI,1B,59,222,33,57,14,0,12,35,20,67,2,0,0.257,0.325,0.482,0.807,630.1
37,Randy Arozarena,TB,LF,58,225,39,57,10,0,7,27,25,72,9,2,0.253,0.34,0.391,0.731,627.3
