ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Probable Pitcher,Injury Status,Starting
mlb.p.7977,Andrew,McCutchen,OF,PHI,CHC,PHI@CHC,8:05PM EDT,19,8.3," "," "," "
mlb.p.8821,Brandon,Kintzler,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,1.8,No," ",No
mlb.p.8873,Matt,Moore,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,4.8,No," ",No
mlb.p.8875,Bryce,Harper,OF,PHI,CHC,PHI@CHC,8:05PM EDT,21,9.3," "," "," "
mlb.p.9124,Zack,Wheeler,P,PHI,CHC,PHI@CHC,8:05PM EDT,52,28.1,No," ",No
mlb.p.9247,Jean,Segura,2B,PHI,CHC,PHI@CHC,8:05PM EDT,17,7.5," "," "," "
mlb.p.9282,Didi,Gregorius,SS,PHI,CHC,PHI@CHC,8:05PM EDT,15,6.4," "," "," "
mlb.p.9446,Brad,Miller,2B,PHI,CHC,PHI@CHC,8:05PM EDT,7,4.4," "," "," "
mlb.p.9542,Archie,Bradley,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,2.2,No," ",No
mlb.p.9718,J.T.,Realmuto,C,PHI,CHC,PHI@CHC,8:05PM EDT,12,7.2," "," "," "
mlb.p.9779,Hector,Neris,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,2.8,No," ",No
mlb.p.9882,Aaron,Nola,P,PHI,CHC,PHI@CHC,8:05PM EDT,36,20.1,No," ",No
mlb.p.9906,Odubel,Herrera,OF,PHI,CHC,PHI@CHC,8:05PM EDT,10,6.6," ",DTD," "
mlb.p.9992,Vince,Velasquez,P,PHI,CHC,PHI@CHC,8:05PM EDT,31,12.7,No," ",No
mlb.p.10050,Travis,Jankowski,OF,PHI,CHC,PHI@CHC,8:05PM EDT,9,3.2," "," "," "
mlb.p.10088,Ronald,Torreyes,SS,PHI,CHC,PHI@CHC,8:05PM EDT,7,4.4," "," "," "
mlb.p.10141,Zach,Eflin,P,PHI,CHC,PHI@CHC,8:05PM EDT,35,17.6,Yes," ",Yes
mlb.p.10555,Andrew,Knapp,C,PHI,CHC,PHI@CHC,8:05PM EDT,7,2.9," "," "," "
mlb.p.10556,Rhys,Hoskins,1B,PHI,CHC,PHI@CHC,8:05PM EDT,18,8.2," "," "," "
mlb.p.10692,Jose,Alvarado,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,3.7,No," ",No
mlb.p.11064,Enyel,De Los Santos,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,3.0,No," ",No
mlb.p.11117,Ranger,Suarez,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,7.4,No," ",No
mlb.p.11365,Alec,Bohm,3B,PHI,CHC,PHI@CHC,8:05PM EDT,13,5.7," "," "," "
mlb.p.11955,Connor,Brogdon,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,3.1,No," ",No
mlb.p.12104,Bailey,Falter,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,6.6,No," ",No
mlb.p.12207,Luke,Williams,2B,PHI,CHC,PHI@CHC,8:05PM EDT,7,3.5," "," "," "
mlb.p.10213,Sam,Coonrod,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,3.3,No,IL10,No
mlb.p.8239,Matt,Joyce,OF,PHI,CHC,PHI@CHC,8:05PM EDT,7,2.2," ",IL10," "
mlb.p.9698,Chase,Anderson,P,PHI,CHC,PHI@CHC,8:05PM EDT,29,5.5,No,COVID,No
mlb.p.10140,Roman,Quinn,OF,PHI,CHC,PHI@CHC,8:05PM EDT,7,3.6," ",IL60," "
mlb.p.10931,JoJo,Romero,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,1.2,No,IL60,No
mlb.p.11011,Seranthony,Dominguez,P,PHI,CHC,PHI@CHC,8:05PM EDT,25,0.0,No,IL60,No
mlb.p.8621,Jason,Heyward,OF,CHC,PHI,PHI@CHC,8:05PM EDT,11,5.0," "," "," "
mlb.p.8622,Craig,Kimbrel,P,CHC,PHI,PHI@CHC,8:05PM EDT,25,5.6,No," ",No
mlb.p.8623,Jake,Arrieta,P,CHC,PHI,PHI@CHC,8:05PM EDT,26,9.3,No,IL10,No
mlb.p.8828,Eric,Sogard,3B,CHC,PHI,PHI@CHC,8:05PM EDT,7,3.0," ",IL10," "
