,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
0,Tyler Glasnow,TB,SP,4,1,7,7,0,43.2,23,10,10,4,15,64,337,2.06,0.151,0.87,48.14285714285714,39.333428945200396
1,Shane Bieber,CLE,SP,3,2,6,6,0,42.1,28,13,13,5,14,68,334,2.76,0.17800000000000002,0.99,55.66666666666666,37.18590465604019
2,Gerrit Cole,NYY,SP,4,1,6,6,0,37.2,24,7,6,1,3,62,325,1.43,0.17800000000000002,0.72,54.16666666666666,21.310256676325857
3,Jacob deGrom,NYM,SP,2,2,5,5,0,35.0,16,5,2,2,4,59,308,0.51,0.136,0.57,61.6,22.91073559377698
4,Trevor Bauer,LAD,SP,3,1,6,6,0,40.0,19,12,11,7,8,51,278,2.48,0.138,0.68,46.33333333333334,27.52835101131732
5,Yu Darvish,SD,SP,3,1,6,6,0,38.0,23,9,9,4,11,49,272,2.13,0.172,0.9,45.33333333333334,31.76820327982547
6,Max Scherzer,WSH,SP,2,2,6,6,0,39.0,27,13,11,7,6,47,253,2.54,0.196,0.85,42.16666666666666,23.616925097828634
7,Clayton Kershaw,LAD,SP,4,2,8,6,0,38.2,30,10,9,3,5,39,250,2.1,0.21,0.91,31.25,21.85946688681356
8,Corbin Burnes,MIL,RP,2,2,5,5,0,29.1,16,6,5,1,0,49,248,1.53,0.152,0.55,49.6,15.489765539739233
9,Kevin Gausman,SF,SP,2,0,6,6,0,39.2,25,9,9,4,11,40,244,2.04,0.175,0.91,40.66666666666666,30.99708989760101
10,Joe Musgrove,SD,SP,2,3,9,6,0,34.0,18,11,9,4,7,47,240,2.38,0.14800000000000002,0.74,26.66666666666667,24.921303297865833
11,Trevor Rogers,MIA,SP,3,2,6,6,0,33.0,22,8,7,2,13,44,240,1.91,0.193,1.06,40.0,34.23586445774454
12,Julio Urías,LAD,RP,4,0,6,6,0,37.2,28,13,12,4,6,42,239,2.87,0.206,0.9,39.833333333333336,23.37291904370445
13,John Means,BAL,SP,3,0,6,6,0,37.0,21,7,7,5,10,38,238,1.7,0.163,0.84,39.66666666666666,29.78850138686007
14,Brandon Woodruff,MIL,SP,2,0,6,6,0,35.0,19,7,7,1,9,40,236,1.8,0.158,0.8,39.333333333333336,28.225393962033046
15,Danny Duffy,KC,SP,4,1,5,5,0,30.0,20,4,2,2,9,34,226,0.6,0.183,0.97,45.2,28.37686520849706
16,Freddy Peralta,MIL,RP,3,0,6,5,0,28.0,14,7,7,3,14,45,224,2.25,0.146,1.0,37.333333333333336,35.355267463120214
17,Zack Wheeler,PHI,SP,2,2,6,6,0,38.2,31,15,15,4,12,41,218,3.49,0.225,1.11,36.333333333333336,31.455074611965617
18,Jack Flaherty,STL,SP,5,0,6,6,0,34.1,25,16,13,3,10,36,218,3.41,0.203,1.02,36.333333333333336,28.697942420598444
19,Aaron Nola,PHI,SP,2,1,6,6,0,37.2,31,13,13,3,5,39,215,3.11,0.218,0.96,35.833333333333336,21.06824092248332
20,Anthony DeSclafani,SF,SP,2,1,8,6,0,36.0,25,8,8,3,9,33,211,2.0,0.189,0.94,26.375,27.09546967698016
21,Carlos Rodón,CHW,SP,4,0,4,4,0,25.0,7,3,2,1,9,36,209,0.72,0.085,0.64,52.25,28.86938093780851
22,José Berríos,MIN,SP,3,2,6,6,0,32.2,24,13,13,2,9,42,207,3.58,0.207,1.01,34.5,27.172327521400618
23,Sandy Alcantara,MIA,SP,1,2,6,6,0,36.2,25,14,13,3,11,36,201,3.19,0.195,0.98,33.5,29.765937042627154
